No,DateTime,Device Name,Location,Energy Consumption (kWh)
177,"01, 15/12/25",GG_L3_WB_AHU,WB-AHU,22446.7
178,"01, 15/12/25",GG_L4_WB_AHU,WB-AHU,32059.76
182,"01, 15/12/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,
184,"01, 15/12/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,61975.62
186,"01, 15/12/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,
188,"01, 15/12/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,19494.72
190,"01, 15/12/25",GG_L6_WB_AHU,WB-AHU,21726.06
197,"01, 15/12/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,36113.51
198,"01, 15/12/25",GG_L1_DWS-SDP STK,DWS-Gudang,28918.67
200,"01, 15/12/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,362331.73
203,"01, 15/12/25",GG_L1_DWS-SDP LP,DWS-Gudang,20036.9
207,"01, 15/12/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,44384.82
208,"01, 15/12/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,39597.68
210,"01, 15/12/25",GG_L2_R Panel-SDP PP,R Panel,133547.64
212,"01, 15/12/25",GG_L2_R Panel-SDP DB UPS,R Panel,
213,"01, 15/12/25",GG_L2_R Panel-SDP DB LED,R Panel,138685.48
214,"01, 15/12/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,61981.27
217,"01, 15/12/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,
230,"02, 15/12/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,19219.54
231,"02, 15/12/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,38341.8
233,"02, 15/12/25",GG_L5_WB_AHU,WB-AHU,20415.72
234,"02, 15/12/25",GG_L4_WT_AHU,WT-AHU,24867.7
235,"02, 15/12/25",GG_L3_WT_AHU,WT-AHU,22792.44
236,"02, 15/12/25",GG_L3_WB_AHU,WB-AHU,22446.74
237,"02, 15/12/25",GG_L4_WB_AHU,WB-AHU,32059.76
242,"02, 15/12/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,61979.46
245,"02, 15/12/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,
247,"02, 15/12/25",GG_L6_WB_AHU,WB-AHU,21726.06
254,"02, 15/12/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,36114.89
255,"02, 15/12/25",GG_L1_DWS-SDP STK,DWS-Gudang,28919.65
257,"02, 15/12/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,362435.03
260,"02, 15/12/25",GG_L1_DWS-SDP LP,DWS-Gudang,20037.7
264,"02, 15/12/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,44389.4
265,"02, 15/12/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,39599.84
267,"02, 15/12/25",GG_L2_R Panel-SDP PP,R Panel,133552.48
268,"02, 15/12/25",GG_L2_R Panel-SDP DB UPS,R Panel,
269,"02, 15/12/25",GG_L2_R Panel-SDP DB LED,R Panel,138696.55
270,"02, 15/12/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,61982.04
273,"02, 15/12/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,
287,"03, 15/12/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,19219.54
288,"03, 15/12/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,38341.8
290,"03, 15/12/25",GG_L5_WB_AHU,WB-AHU,20415.72
291,"03, 15/12/25",GG_L4_WT_AHU,WT-AHU,24867.7
292,"03, 15/12/25",GG_L3_WT_AHU,WT-AHU,
293,"03, 15/12/25",GG_L3_WB_AHU,WB-AHU,22446.78
294,"03, 15/12/25",GG_L4_WB_AHU,WB-AHU,32059.76
298,"03, 15/12/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,
300,"03, 15/12/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,
302,"03, 15/12/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,168790.59
305,"03, 15/12/25",GG_L6_WB_AHU,WB-AHU,21726.06
312,"03, 15/12/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,36115.98
313,"03, 15/12/25",GG_L1_DWS-SDP STK,DWS-Gudang,28920.73
315,"03, 15/12/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,362447.19
318,"03, 15/12/25",GG_L1_DWS-SDP LP,DWS-Gudang,20038.49
322,"03, 15/12/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,44393.23
323,"03, 15/12/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,39601.8
325,"03, 15/12/25",GG_L2_R Panel-SDP PP,R Panel,133556.56
327,"03, 15/12/25",GG_L2_R Panel-SDP DB UPS,R Panel,
328,"03, 15/12/25",GG_L2_R Panel-SDP DB LED,R Panel,138705.08
329,"03, 15/12/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,61982.8
332,"03, 15/12/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,88227.68
346,"04, 15/12/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,19219.54
347,"04, 15/12/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,38341.8
349,"04, 15/12/25",GG_L5_WB_AHU,WB-AHU,20415.72
350,"04, 15/12/25",GG_L4_WT_AHU,WT-AHU,24867.7
351,"04, 15/12/25",GG_L3_WT_AHU,WT-AHU,22792.44
352,"04, 15/12/25",GG_L3_WB_AHU,WB-AHU,22446.83
353,"04, 15/12/25",GG_L4_WB_AHU,WB-AHU,32059.76
358,"04, 15/12/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,61985.3
