No,DateTime,Device Name,Location,Energy Consumption (kWh)
232,04/11/25,GG_L1_DWS-SDP STK,DWS-Gudang,631675.09
202,04/11/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1309219
242,04/11/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,859783.52
191,04/11/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,767110.61
221,04/11/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,320916.66
237,04/11/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,423374.31
199,04/11/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,7812069.39
195,04/11/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,1056006.72
203,04/11/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1846329.38
189,04/11/25,GG_L2_R Panel-SDP DB LED,R Panel,3020576.44
235,04/11/25,GG_L2_R Panel-SDP DB UPS,R Panel,6433883.05
209,04/11/25,GG_L2_R Panel-SDP PP,R Panel,2878668.06
230,04/11/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,980413.73
240,04/11/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1799965.18
197,04/11/25,GG_L3_WB_AHU,WB-AHU,465900.91
243,04/11/25,GG_L3_WT_AHU,WT-AHU,498817.04
210,04/11/25,GG_L4_WB_AHU,WB-AHU,645422.65
231,04/11/25,GG_L4_WT_AHU,WT-AHU,524180.44
218,04/11/25,GG_L5_WB_AHU,WB-AHU,446480.53
229,04/11/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1363695.03
219,04/11/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,791141.32
188,04/11/25,GG_L6_WB_AHU,WB-AHU,475735.81
287,05/11/25,GG_L1_DWS-SDP LP,DWS-Gudang,439295.73
281,05/11/25,GG_L1_DWS-SDP STK,DWS-Gudang,633835.55
251,05/11/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1199731.65
292,05/11/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,862909.36
288,05/11/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,769523.66
269,05/11/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,268331.31
274,05/11/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,424724.78
307,05/11/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,7500791.77
303,05/11/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,1361612.73
252,05/11/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1850406.23
298,05/11/25,GG_L2_R Panel-SDP DB LED,R Panel,3028699.98
