No,DateTime,Device Name,Location,Energy Consumption (kWh)
230,17/12/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,850526.09
243,17/12/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,19629.5
216,17/12/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,406619.01
238,17/12/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,8381220.3
186,17/12/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,848979.69
194,17/12/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1801193.75
193,17/12/25,GG_L2_R Panel-SDP DB LED,R Panel,2926927.23
241,17/12/25,GG_L2_R Panel-SDP DB UPS,R Panel,6283517.64
213,17/12/25,GG_L2_R Panel-SDP PP,R Panel,2015171.49
235,17/12/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,936614.36
185,17/12/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1689352.49
236,17/12/25,GG_L3_WB_AHU,WB-AHU,497987.81
222,17/12/25,GG_L3_WT_AHU,WT-AHU,528312.71
188,17/12/25,GG_L4_WB_AHU,WB-AHU,710316.93
209,17/12/25,GG_L4_WT_AHU,WT-AHU,526316.47
196,17/12/25,GG_L5_WB_AHU,WB-AHU,432030.63
220,17/12/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1246599.16
197,17/12/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,835833.43
226,17/12/25,GG_L6_WB_AHU,WB-AHU,525644.88
251,18/12/25,GG_L1_DWS-SDP LP,DWS-Gudang,485909.32
293,18/12/25,GG_L1_DWS-SDP STK,DWS-Gudang,701014.46
290,18/12/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1315742.99
270,18/12/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,838968.71
266,18/12/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,814277.62
304,18/12/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,
252,18/12/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,465947.82
259,18/12/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,8763502.06
268,18/12/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,510291.8
276,18/12/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1127399.45
277,18/12/25,GG_L2_R Panel-SDP DB LED,R Panel,3212484.5
264,18/12/25,GG_L2_R Panel-SDP DB UPS,R Panel,5668191.58
296,18/12/25,GG_L2_R Panel-SDP PP,R Panel,2827914.66
257,18/12/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,893785.58
