No,Date Time,Device Name,Location,Energy Consumption (kWh)
1241,"07, 03/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18172.6
1242,"07, 03/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40748.63
1243,"07, 03/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35666.63
1244,"07, 03/11/25",GG_L2_R Panel-SDP PP,R Panel,119513.8
1245,"07, 03/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,278820.64
1246,"07, 03/11/25",GG_L2_R Panel-SDP DB LED,R Panel,125447.31
1247,"07, 03/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56647.77
1248,"07, 03/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77914.12
1249,"08, 03/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17567.63
1250,"08, 03/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34720.16
1251,"08, 03/11/25",GG_L5_WB_AHU,WB-AHU,18520.64
1252,"08, 03/11/25",GG_L4_WT_AHU,WT-AHU,22692.6
1253,"08, 03/11/25",GG_L3_WT_AHU,WT-AHU,20689.72
1254,"08, 03/11/25",GG_L3_WB_AHU,WB-AHU,20158.23
1255,"08, 03/11/25",GG_L4_WB_AHU,WB-AHU,29214.69
1256,"08, 03/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56623.3
1257,"08, 03/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17758.24
1258,"08, 03/11/25",GG_L6_WB_AHU,WB-AHU,19736.25
1259,"08, 03/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32838.4
1260,"08, 03/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26227.15
1261,"08, 03/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,324889.83
1262,"08, 03/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18175.3
1263,"08, 03/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40752.94
1264,"08, 03/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35673.91
1265,"08, 03/11/25",GG_L2_R Panel-SDP PP,R Panel,119530.9
1266,"08, 03/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,278847.16
1267,"08, 03/11/25",GG_L2_R Panel-SDP DB LED,R Panel,125463.13
1268,"08, 03/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56659.36
1269,"08, 03/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77926.66
1270,"09, 03/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17572.74
1271,"09, 03/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34728.34
1272,"09, 03/11/25",GG_L5_WB_AHU,WB-AHU,18525.9
1273,"09, 03/11/25",GG_L4_WT_AHU,WT-AHU,22699.73
1274,"09, 03/11/25",GG_L3_WT_AHU,WT-AHU,20694.36
1275,"09, 03/11/25",GG_L3_WB_AHU,WB-AHU,20166.28
1276,"09, 03/11/25",GG_L4_WB_AHU,WB-AHU,29223.78
1277,"09, 03/11/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,
1278,"09, 03/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56629.36
1279,"09, 03/11/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,150386.95
1280,"09, 03/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17760.41
1281,"09, 03/11/25",GG_L6_WB_AHU,WB-AHU,19743.7
1282,"09, 03/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32843.32
1283,"09, 03/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26231.82
1284,"09, 03/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,324901.23
1285,"09, 03/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18177.99
1286,"09, 03/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40756.06
1287,"09, 03/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35681.01
1288,"09, 03/11/25",GG_L2_R Panel-SDP PP,R Panel,119548.79
1289,"09, 03/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,278871.16
1290,"09, 03/11/25",GG_L2_R Panel-SDP DB LED,R Panel,125477.17
1291,"09, 03/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56673.3
1292,"09, 03/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77943.6
1293,"10, 03/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17577.24
1294,"10, 03/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34736.96
1295,"10, 03/11/25",GG_L5_WB_AHU,WB-AHU,18530.95
1296,"10, 03/11/25",GG_L4_WT_AHU,WT-AHU,22707.72
1297,"10, 03/11/25",GG_L3_WT_AHU,WT-AHU,20702.54
1298,"10, 03/11/25",GG_L3_WB_AHU,WB-AHU,20170.75
1299,"10, 03/11/25",GG_L4_WB_AHU,WB-AHU,29226.36
1300,"10, 03/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56637.21
1301,"10, 03/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17766.65
1302,"10, 03/11/25",GG_L6_WB_AHU,WB-AHU,19748.84
1303,"10, 03/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32853.62
1304,"10, 03/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26236.68
1305,"10, 03/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,324911.84
1306,"10, 03/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18180.72
1307,"10, 03/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40760.08
1308,"10, 03/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35689.67
1309,"10, 03/11/25",GG_L2_R Panel-SDP PP,R Panel,119564.46
1310,"10, 03/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,278915.8
1311,"10, 03/11/25",GG_L2_R Panel-SDP DB LED,R Panel,125488.64
1312,"10, 03/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56687.1
1313,"10, 03/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77960.05
1314,"11, 03/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17582.77
1315,"11, 03/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34748.86
1316,"11, 03/11/25",GG_L5_WB_AHU,WB-AHU,18536.91
1317,"11, 03/11/25",GG_L4_WT_AHU,WT-AHU,22715.41
1318,"11, 03/11/25",GG_L3_WT_AHU,WT-AHU,20707.99
1319,"11, 03/11/25",GG_L3_WB_AHU,WB-AHU,20177.98
1320,"11, 03/11/25",GG_L4_WB_AHU,WB-AHU,
1321,"11, 03/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56646.23
1322,"11, 03/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17770.9
1323,"11, 03/11/25",GG_L6_WB_AHU,WB-AHU,19755.22
1324,"11, 03/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32858.04
1325,"11, 03/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26241.05
1326,"11, 03/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,324925.42
1327,"11, 03/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18183.42
1328,"11, 03/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40763.04
1329,"11, 03/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35698.19
1330,"11, 03/11/25",GG_L2_R Panel-SDP PP,R Panel,119585.07
1331,"11, 03/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,278946.62
1332,"11, 03/11/25",GG_L2_R Panel-SDP DB LED,R Panel,125511.21
1333,"11, 03/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56702.26
1334,"11, 03/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77973.46
1335,"12, 03/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17587.67
1336,"12, 03/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34757.91
1337,"12, 03/11/25",GG_L5_WB_AHU,WB-AHU,18542.41
1338,"12, 03/11/25",GG_L4_WT_AHU,WT-AHU,22721.92
1339,"12, 03/11/25",GG_L3_WT_AHU,WT-AHU,20716.42
1340,"12, 03/11/25",GG_L3_WB_AHU,WB-AHU,
1341,"12, 03/11/25",GG_L4_WB_AHU,WB-AHU,
1342,"12, 03/11/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,
1343,"12, 03/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56654.5
1344,"12, 03/11/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,150453.8
1345,"12, 03/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17776.64
1346,"12, 03/11/25",GG_L6_WB_AHU,WB-AHU,19761.34
1347,"12, 03/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32864.96
1348,"12, 03/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26245.87
1349,"12, 03/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,324939.69
1350,"12, 03/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18186.15
1351,"12, 03/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40766.45
1352,"12, 03/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35704.67
1353,"12, 03/11/25",GG_L2_R Panel-SDP PP,R Panel,119603.16
1354,"12, 03/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,278979.94
1355,"12, 03/11/25",GG_L2_R Panel-SDP DB LED,R Panel,125527.18
1356,"12, 03/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56724.36
1357,"12, 03/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77989.48
1358,"13, 03/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17591.74
1359,"13, 03/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34764.48
1360,"13, 03/11/25",GG_L5_WB_AHU,WB-AHU,18547.25
1361,"13, 03/11/25",GG_L4_WT_AHU,WT-AHU,22727.86
1362,"13, 03/11/25",GG_L3_WT_AHU,WT-AHU,20721.82
1363,"13, 03/11/25",GG_L3_WB_AHU,WB-AHU,20191.73
1364,"13, 03/11/25",GG_L4_WB_AHU,WB-AHU,29252.17
1365,"13, 03/11/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,204681.8
1366,"13, 03/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56662.01
1367,"13, 03/11/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,150491
1368,"13, 03/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17779.07
1369,"13, 03/11/25",GG_L6_WB_AHU,WB-AHU,19767.42
1370,"13, 03/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32872.9
1371,"13, 03/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26250.58
1372,"13, 03/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,324956.75
1373,"13, 03/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18188.87
1374,"13, 03/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40769.86
1375,"13, 03/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35711.19
1376,"13, 03/11/25",GG_L2_R Panel-SDP PP,R Panel,119624.44
1377,"13, 03/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,279000.03
1378,"13, 03/11/25",GG_L2_R Panel-SDP DB LED,R Panel,125542.9
1379,"13, 03/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56731.91
1380,"13, 03/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,78004.84
1381,"14, 03/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17597.25
1382,"14, 03/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34776.8
1383,"14, 03/11/25",GG_L5_WB_AHU,WB-AHU,18553.22
1384,"14, 03/11/25",GG_L4_WT_AHU,WT-AHU,22733.51
1385,"14, 03/11/25",GG_L3_WT_AHU,WT-AHU,20729.66
1386,"14, 03/11/25",GG_L3_WB_AHU,WB-AHU,20198.55
1387,"14, 03/11/25",GG_L4_WB_AHU,WB-AHU,29259.21
1388,"14, 03/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56667.91
1389,"14, 03/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17785.55
1390,"14, 03/11/25",GG_L6_WB_AHU,WB-AHU,
1391,"14, 03/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32879.05
1392,"14, 03/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26255.31
1393,"14, 03/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,324966.2
1394,"14, 03/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18191.59
1395,"14, 03/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40773.74
1396,"14, 03/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35719.43
1397,"14, 03/11/25",GG_L2_R Panel-SDP PP,R Panel,119640.77
1398,"14, 03/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,279031.56
1399,"14, 03/11/25",GG_L2_R Panel-SDP DB LED,R Panel,125558.67
1400,"14, 03/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56742.87
1401,"14, 03/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,78024.26
1402,"15, 03/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17602.36
1403,"15, 03/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34787.11
1404,"15, 03/11/25",GG_L5_WB_AHU,WB-AHU,18558.53
1405,"15, 03/11/25",GG_L4_WT_AHU,WT-AHU,22741.48
1406,"15, 03/11/25",GG_L3_WT_AHU,WT-AHU,20735.64
1407,"15, 03/11/25",GG_L3_WB_AHU,WB-AHU,20203.77
1408,"15, 03/11/25",GG_L4_WB_AHU,WB-AHU,29266.59
1409,"15, 03/11/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,
1410,"15, 03/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56678.15
1411,"15, 03/11/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,150523.34
1412,"15, 03/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17789.74
1413,"15, 03/11/25",GG_L6_WB_AHU,WB-AHU,19780.8
1414,"15, 03/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32885.22
1415,"15, 03/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26260.22
1416,"15, 03/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,324971.12
1417,"15, 03/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18194.32
1418,"15, 03/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40777.88
1419,"15, 03/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35725.9
1420,"15, 03/11/25",GG_L2_R Panel-SDP PP,R Panel,119652.75
1421,"15, 03/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,279069.95
1422,"15, 03/11/25",GG_L2_R Panel-SDP DB LED,R Panel,125573.94
1423,"15, 03/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56753.25
1424,"15, 03/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,78034.78
1425,"16, 03/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17607.06
1426,"16, 03/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34797.01
1427,"16, 03/11/25",GG_L5_WB_AHU,WB-AHU,18563.19
1428,"16, 03/11/25",GG_L4_WT_AHU,WT-AHU,22748.08
1429,"16, 03/11/25",GG_L3_WT_AHU,WT-AHU,20741.91
1430,"16, 03/11/25",GG_L3_WB_AHU,WB-AHU,20211.23
1431,"16, 03/11/25",GG_L4_WB_AHU,WB-AHU,29276.23
1432,"16, 03/11/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,
1433,"16, 03/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56686.37
1434,"16, 03/11/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,
1435,"16, 03/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17795.47
1436,"16, 03/11/25",GG_L6_WB_AHU,WB-AHU,19786.58
1437,"16, 03/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32891.94
1438,"16, 03/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26264.92
1439,"16, 03/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,324976.8
1440,"16, 03/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18197.03
1441,"16, 03/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40781.01
1442,"16, 03/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35733.32
1443,"16, 03/11/25",GG_L2_R Panel-SDP PP,R Panel,119671.99
1444,"16, 03/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,279105.47
1445,"16, 03/11/25",GG_L2_R Panel-SDP DB LED,R Panel,125591.05
1446,"16, 03/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56766.29
1447,"16, 03/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,78056.78
1448,"17, 03/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17610.46
1449,"17, 03/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34803.96
1450,"17, 03/11/25",GG_L5_WB_AHU,WB-AHU,18568.57
1451,"17, 03/11/25",GG_L4_WT_AHU,WT-AHU,22751.7
1452,"17, 03/11/25",GG_L3_WT_AHU,WT-AHU,20745.34
1453,"17, 03/11/25",GG_L3_WB_AHU,WB-AHU,20217.52
1454,"17, 03/11/25",GG_L4_WB_AHU,WB-AHU,29283.4
1455,"17, 03/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56694.22
1456,"17, 03/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17799.66
1457,"17, 03/11/25",GG_L6_WB_AHU,WB-AHU,19788.58
1458,"17, 03/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32896.22
1459,"17, 03/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26268.6
1460,"17, 03/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,324990.56
1461,"17, 03/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18199.73
1462,"17, 03/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40784.28
1463,"17, 03/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35740.06
1464,"17, 03/11/25",GG_L2_R Panel-SDP PP,R Panel,119686.61
1465,"17, 03/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,279125.94
1466,"17, 03/11/25",GG_L2_R Panel-SDP DB LED,R Panel,125606.32
1467,"17, 03/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56784.41
1468,"17, 03/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,78074.72
1469,"18, 03/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17611.18
1470,"18, 03/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34805.52
1471,"18, 03/11/25",GG_L5_WB_AHU,WB-AHU,18569.92
1472,"18, 03/11/25",GG_L4_WT_AHU,WT-AHU,22751.7
1473,"18, 03/11/25",GG_L3_WT_AHU,WT-AHU,20745.34
1474,"18, 03/11/25",GG_L3_WB_AHU,WB-AHU,20217.83
1475,"18, 03/11/25",GG_L4_WB_AHU,WB-AHU,29283.4
1476,"18, 03/11/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,204732.12
1477,"18, 03/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56701.74
1478,"18, 03/11/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,
1479,"18, 03/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17799.66
1480,"18, 03/11/25",GG_L6_WB_AHU,WB-AHU,19788.58
1481,"18, 03/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32900.26
1482,"18, 03/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26270.9
1483,"18, 03/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,325014.03
1484,"18, 03/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18202.49
1485,"18, 03/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40788.32
1486,"18, 03/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35745.06
1487,"18, 03/11/25",GG_L2_R Panel-SDP PP,R Panel,119704.82
1488,"18, 03/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,
1489,"18, 03/11/25",GG_L2_R Panel-SDP DB LED,R Panel,125621.82
1490,"18, 03/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56801.15
1491,"18, 03/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,78082.92
1492,"19, 03/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17611.18
1493,"19, 03/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34805.52
1494,"19, 03/11/25",GG_L5_WB_AHU,WB-AHU,18569.92
1495,"19, 03/11/25",GG_L4_WT_AHU,WT-AHU,22751.7
1496,"19, 03/11/25",GG_L3_WT_AHU,WT-AHU,20745.34
1497,"19, 03/11/25",GG_L3_WB_AHU,WB-AHU,20217.89
1498,"19, 03/11/25",GG_L4_WB_AHU,WB-AHU,29283.4
1499,"19, 03/11/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,204780.36
1500,"19, 03/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56708.55
1501,"19, 03/11/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,150609.91
1502,"19, 03/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17799.66
1503,"19, 03/11/25",GG_L6_WB_AHU,WB-AHU,19788.58
1504,"19, 03/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32904.86
1505,"19, 03/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26272.57
1506,"19, 03/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,325036.56
1507,"19, 03/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18205.21
1508,"19, 03/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40791.44
1509,"19, 03/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35748.83
1510,"19, 03/11/25",GG_L2_R Panel-SDP PP,R Panel,119722.49
1511,"19, 03/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,279213.19
1512,"19, 03/11/25",GG_L2_R Panel-SDP DB LED,R Panel,125636.28
1513,"19, 03/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56818.89
1514,"19, 03/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,78092.12
1515,"20, 03/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17611.18
1516,"20, 03/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34805.52
1517,"20, 03/11/25",GG_L5_WB_AHU,WB-AHU,18569.92
1518,"20, 03/11/25",GG_L4_WT_AHU,WT-AHU,22751.7
1519,"20, 03/11/25",GG_L3_WT_AHU,WT-AHU,20745.34
1520,"20, 03/11/25",GG_L3_WB_AHU,WB-AHU,20217.94
1521,"20, 03/11/25",GG_L4_WB_AHU,WB-AHU,29283.4
1522,"20, 03/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56716.27
1523,"20, 03/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17799.66
1524,"20, 03/11/25",GG_L6_WB_AHU,WB-AHU,19788.58
1525,"20, 03/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32907.45
1526,"20, 03/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26273.96
1527,"20, 03/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,325066.48
1528,"20, 03/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18207.61
1529,"20, 03/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40795.46
1530,"20, 03/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35752.75
1531,"20, 03/11/25",GG_L2_R Panel-SDP PP,R Panel,119741.65
1532,"20, 03/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,279241.05
1533,"20, 03/11/25",GG_L2_R Panel-SDP DB LED,R Panel,125649.67
1534,"20, 03/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56830.13
1535,"20, 03/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,78101.43
1536,"21, 03/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17611.18
1537,"21, 03/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34805.52
1538,"21, 03/11/25",GG_L5_WB_AHU,WB-AHU,18569.92
1539,"21, 03/11/25",GG_L4_WT_AHU,WT-AHU,22751.7
1540,"21, 03/11/25",GG_L3_WT_AHU,WT-AHU,20745.34
1541,"21, 03/11/25",GG_L3_WB_AHU,WB-AHU,20217.99
1542,"21, 03/11/25",GG_L4_WB_AHU,WB-AHU,29283.4
1543,"21, 03/11/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,
1544,"21, 03/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56721.47
1545,"21, 03/11/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,
1546,"21, 03/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17799.66
1547,"21, 03/11/25",GG_L6_WB_AHU,WB-AHU,19788.58
1548,"21, 03/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32909.05
1549,"21, 03/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26275.2
1550,"21, 03/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,325095.06
1551,"21, 03/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18209.51
1552,"21, 03/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40798.88
1553,"21, 03/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35756.7
1554,"21, 03/11/25",GG_L2_R Panel-SDP PP,R Panel,119757.12
1555,"21, 03/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,279271.73
1556,"21, 03/11/25",GG_L2_R Panel-SDP DB LED,R Panel,125663.96
1557,"21, 03/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56834.38
1558,"21, 03/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,78112.47
1559,"22, 03/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17611.18
1560,"22, 03/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34805.52
